,avg_accuracy,worst_group_accuracy,accuracy_gap
total_params_M,0.327505260959408,0.025688988050992474,0.19046992213444308
image_size,0.26836825093206795,0.1989019903314738,-0.10801096537836781
patch_size,-0.5608554079040201,-0.24748178342774874,-0.06675817858988672
embed_dim,0.4720434103124889,0.14960354721225072,0.12320166542566383
training_samples_M,-0.01862346956467885,0.02978021418018205,-0.1828506094991521
n_tokens,0.5797485730866152,0.28024394832033894,0.026868620960011358
vit_size_rank,0.4770873788548663,0.14339895665218663,0.13207914444364266
