,avg_accuracy,worst_group_accuracy
total_params_M,0.027715320096367232,0.5354647349485181
image_size,0.06648501971563184,0.16231730920221063
patch_size_num,-0.12778889622411121,-0.5667097415845922
num_tokens,0.15175144714353567,0.48437652805151526
embed_dim,0.0019796077261394697,0.48986824059055356
training_data_size_M,0.3560919579007115,0.5885429039438702
