Dataset,Method,Seed,Best Epoch,test_overall,test_worst_group_accuracy
speech_accent_archive,bias_ensemble,seed_4,0,79.10000000000001,66.7
speech_accent_archive,bias_ensemble,seed_2,1,76.0,51.9
speech_accent_archive,bias_ensemble,seed_5,2,81.5,70.39999999999999
speech_accent_archive,bias_ensemble,seed_3,3,81.5,70.39999999999999
speech_accent_archive,bias_ensemble,seed_1,9,72.7,42.9
speech_accent_archive,bpa,seed_4,4,79.80000000000001,67.9
speech_accent_archive,bpa,seed_2,16,84.5,74.1
speech_accent_archive,bpa,seed_5,1,78.60000000000001,70.39999999999999
speech_accent_archive,bpa,seed_3,4,82.8,74.1
speech_accent_archive,bpa,seed_1,12,83.0,77.8
speech_accent_archive,george,seed_4,17,81.2,74.1
speech_accent_archive,george,seed_2,20,79.60000000000001,74.1
speech_accent_archive,george,seed_5,19,81.8,75.0
speech_accent_archive,george,seed_3,43,83.3,74.1
speech_accent_archive,george,seed_1,72,85.39999999999999,81.5
speech_accent_archive,erm,seed_4,38,83.3,75.0
speech_accent_archive,erm,seed_2,21,82.39999999999999,75.0
speech_accent_archive,erm,seed_5,20,86.1,77.8
speech_accent_archive,erm,seed_3,13,82.5,74.1
speech_accent_archive,erm,seed_1,19,82.69999999999999,75.0
speech_accent_archive,debian,seed_4,53,80.7,74.1
speech_accent_archive,debian,seed_2,10,81.39999999999999,75.0
speech_accent_archive,debian,seed_5,57,83.1,77.8
speech_accent_archive,debian,seed_3,7,80.10000000000001,74.1
speech_accent_archive,debian,seed_1,32,81.6,74.1
speech_accent_archive,jtt,seed_4,26,83.2,77.8
speech_accent_archive,jtt,seed_2,22,82.3,77.8
speech_accent_archive,jtt,seed_5,26,85.3,78.60000000000001
speech_accent_archive,jtt,seed_3,13,78.7,74.1
speech_accent_archive,jtt,seed_1,29,84.2,78.60000000000001
speech_accent_archive,lff,seed_4,26,84.7,78.60000000000001
speech_accent_archive,lff,seed_2,37,84.0,77.8
speech_accent_archive,lff,seed_5,28,85.8,82.1
speech_accent_archive,lff,seed_3,12,83.7,74.1
speech_accent_archive,lff,seed_1,12,81.39999999999999,74.1
speech_accent_archive,sd,seed_4,45,84.3,81.5
speech_accent_archive,sd,seed_2,38,84.1,77.8
speech_accent_archive,sd,seed_5,59,83.6,77.8
speech_accent_archive,sd,seed_3,5,81.89999999999999,74.1
speech_accent_archive,sd,seed_1,19,82.5,75.0
speech_accent_archive,bb,seed_4,24,83.6,78.60000000000001
speech_accent_archive,bb,seed_2,16,86.8,81.5
speech_accent_archive,bb,seed_5,24,85.39999999999999,81.5
speech_accent_archive,bb,seed_3,42,87.1,82.1
speech_accent_archive,bb,seed_1,20,84.1,81.5
speech_accent_archive,end,seed_4,51,83.2,77.8
speech_accent_archive,end,seed_2,21,82.39999999999999,75.0
speech_accent_archive,end,seed_5,27,84.7,82.1
speech_accent_archive,end,seed_3,13,82.5,74.1
speech_accent_archive,end,seed_1,19,82.69999999999999,75.0
speech_accent_archive,groupdro,seed_4,31,85.2,81.5
speech_accent_archive,groupdro,seed_2,44,84.0,77.8
speech_accent_archive,groupdro,seed_5,8,81.39999999999999,75.0
speech_accent_archive,groupdro,seed_3,4,81.10000000000001,74.1
speech_accent_archive,groupdro,seed_1,14,79.9,74.1
speech_accent_archive,flac,seed_4,14,79.4,75.0
speech_accent_archive,flac,seed_2,54,82.5,78.60000000000001
speech_accent_archive,flac,seed_5,49,85.6,81.5
speech_accent_archive,flac,seed_3,54,79.60000000000001,74.1
speech_accent_archive,flac,seed_1,34,79.9,74.1
speech_accent_archive,badd,seed_4,50,85.8,81.89999999999999
speech_accent_archive,badd,seed_2,34,84.89999999999999,78.60000000000001
speech_accent_archive,badd,seed_5,14,87.4,81.5
speech_accent_archive,badd,seed_3,27,84.5,78.60000000000001
speech_accent_archive,badd,seed_1,24,85.39999999999999,82.1
