method,Test Worst Group Accuracy,rank
badd,65.5400002002716,1
bb,65.33999919891357,2
maviasb,62.67999887466431,3
di,60.4800009727478,4
flac,60.16000151634216,5
end,53.99999976158142,6
lff,52.96000003814697,7
debian,51.299999356269836,8
jtt,49.34000015258789,9
erm,47.50000059604645,10
sd,44.700000286102295,11
groupdro,39.700000286102295,12
