method,Test Worst Group Accuracy,rank
badd,64.42000150680542,1
bb,61.11999988555908,2
di,59.299999475479126,3
maviasb,54.959999322891235,4
flac,46.2799996137619,5
debian,31.84000074863434,6
end,31.519999504089355,7
erm,31.019999384880066,8
sd,25.22000029683113,9
lff,25.000000447034836,10
jtt,20.080000013113022,11
groupdro,12.5,12
