method,Test Worst Group Accuracy,rank
maviasb,84.65999841690063,1
flac,81.56000137329102,2
bb,80.46000123023987,3
di,79.66000080108643,4
lff,79.6399998664856,5
sd,79.40000057220459,6
end,78.92000079154968,7
debian,78.88000011444092,8
badd,78.38000178337097,9
erm,75.7666677236557,10
groupdro,74.97999906539917,11
jtt,72.6800000667572,12
