method,worst_group_acc,rank
badd,0.27285714285714285,1
sd,0.2696296296296296,2
flac,0.24851540616246492,3
debian,0.23544973544973538,4
jtt,0.2195767195767195,5
end,0.21028322440087144,6
erm,0.21028322440087144,6
bb,0.2076190476190476,8
lff,0.14666666666666664,9
maviasb,0.1372839506172839,10
groupdro,0.06666666666666664,11
di,0.0,12
