Method,MeanRank,StdRank
mavias,2.3333333333333335,1.1547005383792515
badd,3.0,2.6457513110645907
di,4.0,3.605551275463989
bb,5.0,2.6457513110645907
flac,6.0,2.6457513110645907
debian,6.333333333333333,3.7859388972001824
jtt,6.333333333333333,3.214550253664318
end,6.333333333333333,3.055050463303893
lff,6.666666666666667,3.055050463303893
sd,6.666666666666667,1.5275252316519465
groupdro,11.0,1.0
erm,11.333333333333334,0.5773502691896257
