model_name,pretrained_tag,model_id,arch_family,resnet_depth,resnet_multiplier,patch_size,image_size,training_data,quickgelu,embed_dim,total_params_M,acc_gt_text1,acc_gt_text2,avg_accuracy,worst_group_accuracy,worst_group,best_group_accuracy,best_group,accuracy_gap,total_images,load_time_s,encode_time_s,"acc_obj=country, bg=country, co=country","acc_obj=country, bg=country, co=urban","acc_obj=country, bg=urban, co=country","acc_obj=country, bg=urban, co=urban","acc_obj=urban, bg=country, co=country","acc_obj=urban, bg=country, co=urban","acc_obj=urban, bg=urban, co=country","acc_obj=urban, bg=urban, co=urban",vit_size
PE-Core-S-16-384,meta,PE-Core-S-16-384_meta,Other,,,,384,meta,False,,87.2,0.944,0.774,0.859,0.752,"obj=country, bg=urban, co=country",0.968,"obj=urban, bg=urban, co=country",0.10699999999999998,1000,6.9,2.9,0.792,0.784,0.752,0.768,0.92,0.928,0.968,0.96,
ViT-g-14,laion2b_s12b_b42k,ViT-g-14_laion2b_s12b_b42k,ViT,,,14.0,224,LAION-2B,False,1024.0,1366.7,0.866,0.844,0.855,0.76,"obj=country, bg=country, co=urban",0.944,"obj=urban, bg=country, co=urban",0.09499999999999997,1000,59.2,7.1,0.896,0.76,0.896,0.824,0.8,0.944,0.8,0.92,g
nllb-clip-large-siglip,mrl,nllb-clip-large-siglip_mrl,SigLIP,,,,384,mrl,False,,1195.5,0.79,0.92,0.855,0.744,"obj=urban, bg=urban, co=country",0.944,"obj=country, bg=country, co=country",0.11099999999999999,1000,49.0,9.6,0.944,0.928,0.904,0.904,0.784,0.784,0.744,0.848,
PE-Core-L-14-336,meta,PE-Core-L-14-336_meta,Other,,,,336,meta,False,,671.1,0.982,0.718,0.85,0.64,"obj=country, bg=urban, co=urban",0.992,"obj=urban, bg=urban, co=country",0.20999999999999996,1000,33.8,6.2,0.824,0.68,0.728,0.64,0.968,0.976,0.992,0.992,
ViT-L-14,commonpool_xl_s13b_b90k,ViT-L-14_commonpool_xl_s13b_b90k,ViT,,,14.0,224,CommonPool,False,768.0,427.6,0.954,0.732,0.843,0.68,"obj=country, bg=urban, co=urban",0.968,"obj=urban, bg=urban, co=country",0.16299999999999992,1000,20.1,3.4,0.776,0.736,0.736,0.68,0.92,0.96,0.968,0.968,L
ViT-H-14,dfn5b,ViT-H-14_dfn5b,ViT,,,14.0,224,DFN,False,1024.0,986.1,0.756,0.924,0.84,0.624,"obj=urban, bg=country, co=country",0.968,"obj=country, bg=country, co=urban",0.21599999999999997,1000,46.4,5.2,0.952,0.968,0.896,0.88,0.624,0.808,0.76,0.832,H
PE-Core-B-16,meta,PE-Core-B-16_meta,Other,,,,224,meta,False,,447.7,0.856,0.824,0.84,0.768,"obj=urban, bg=country, co=country",0.936,"obj=urban, bg=urban, co=urban",0.07199999999999995,1000,23.2,2.0,0.888,0.8,0.832,0.776,0.768,0.928,0.792,0.936,
ViT-B-16-SigLIP-384,webli,ViT-B-16-SigLIP-384_webli,ViT,,,16.0,384,WebLI,False,,203.4,0.754,0.926,0.84,0.672,"obj=urban, bg=country, co=country",0.944,"obj=country, bg=country, co=country",0.16799999999999993,1000,12.1,4.3,0.944,0.928,0.92,0.912,0.672,0.784,0.712,0.848,B
ViTamin-XL-256,datacomp1b,ViTamin-XL-256_datacomp1b,ViT,,,,256,DataComp,False,,924.8,0.764,0.912,0.838,0.632,"obj=urban, bg=country, co=country",0.944,"obj=country, bg=country, co=country",0.20599999999999996,1000,45.9,4.0,0.944,0.888,0.928,0.888,0.632,0.904,0.64,0.88,
ViT-bigG-14-CLIPA-336,datacomp1b,ViT-bigG-14-CLIPA-336_datacomp1b,ViT,,,14.0,336,DataComp,False,1280.0,2517.8,0.758,0.916,0.837,0.584,"obj=urban, bg=country, co=country",0.952,"obj=country, bg=country, co=country",0.253,1000,126.9,28.8,0.952,0.896,0.952,0.864,0.584,0.784,0.776,0.888,bigG
