Method,MeanRank,StdRank
mavias,2.25,0.82915619758885
flac,3.25,1.7853571071357126
badd,3.75,3.112474899497183
di,5.25,2.165063509461097
lff,5.75,0.82915619758885
groupdro,7.0,4.636809247747852
debian,7.25,0.82915619758885
bb,7.25,4.763139720814412
end,7.25,1.0897247358851685
erm,9.5,0.8660254037844386
sd,9.5,2.0615528128088303
jtt,10.0,1.5811388300841898
