dataset,method,wg_accuracy,rank
Waterbirds,MAVias,95.9,1.0
Waterbirds,BPA,95.9,1.0
Waterbirds,GEORGE,95.2,2.0
Waterbirds,Debian,94.74,3.0
Waterbirds,EnD,94.72,4.0
Waterbirds,LfF,94.42,5.0
Waterbirds,SD,94.1,6.0
Waterbirds,BAdd,94.0,7.0
Waterbirds,BB,93.24,8.0
Waterbirds,DI,91.64,9.0
Waterbirds,bias_ensemble,91.4,10.0
Waterbirds,FLAC,91.08,11.0
Waterbirds,JTT,90.9,12.0
Waterbirds,GroupDRO,66.38,13.0
Waterbirds,ERM,47.04,14.0

