model_id,model_name,training_objective,arch_family,total_params_M,image_size,training_data,top1_accuracy,worst_group_accuracy,avg_accuracy,imagenet_acc,wg_acc,robustness_gap,robustness_ratio,relative_drop_pct
ViT-L-16-SigLIP-384_webli,ViT-L-16-SigLIP-384,SigLIP,SigLIP,652.5,384,WebLI-10b,0.8208,0.8428666224286663,0.8643422502755235,0.8208,0.8428666224286663,-0.022066622428666305,1.0268842865846324,-2.688428658463244
ViTamin-L2-384_datacomp1b,ViTamin-L2-384,CLIP,ViTamin,688.0,384,DataComp-1b,0.8205,0.7888888888888889,0.9095281033964532,0.8205,0.7888888888888889,0.031611111111111145,0.9614733563545264,3.852664364547367
ViT-SO400M-14-SigLIP_webli,ViT-SO400M-14-SigLIP,SigLIP,SigLIP,877.4,224,WebLI-10b,0.82012,0.8611111111111112,0.908175533513676,0.82012,0.8611111111111112,-0.0409911111111112,1.049981845475188,-4.998184547518802
ViT-L-14_dfn2b_s39b,ViT-L-14,CLIP,CLIP,427.6,224,DFN-2b,0.8200799999999999,0.8277777777777777,0.9125338142470696,0.8200799999999999,0.8277777777777777,-0.007697777777777803,1.0093866181077185,-0.9386618107718521
ViT-H-14_metaclip_altogether,ViT-H-14,CLIP,CLIP,986.1,224,MetaCLIP2-2.5b,0.81932,0.8333333333333334,0.8848311792405571,0.81932,0.8333333333333334,-0.014013333333333322,1.017103614379404,-1.7103614379404042
MobileCLIP2-L-14_dfndr2b,MobileCLIP2-L-14,CLIP,MobileCLIP2,427.6,224,DFNDR-2b,0.81906,0.8055555555555556,0.918645426309989,0.81906,0.8055555555555556,0.01350444444444443,0.9835122647370834,1.648773526291655
MobileCLIP2-S4_dfndr2b,MobileCLIP2-S4,CLIP,MobileCLIP2,445.4,256,DFNDR-2b,0.8184999999999999,0.7722222222222223,0.9225027552349464,0.8184999999999999,0.7722222222222223,0.04627777777777764,0.9434602592818844,5.653974071811564
ViT-H-14-CLIPA-336_datacomp1b,ViT-H-14-CLIPA-336,CLIPA,CLIPA,968.6,336,DataComp-1b,0.81798,0.841672196416722,0.871205290051097,0.81798,0.841672196416722,-0.023692196416721933,1.0289642734745617,-2.8964273474561644
ViTamin-L-384_datacomp1b,ViTamin-L-384,CLIP,ViTamin,457.4,384,DataComp-1b,0.81794,0.8611111111111112,0.8843302274321211,0.81794,0.8611111111111112,-0.04317111111111116,1.052780290866214,-5.27802908662141
ViTamin-L2-336_datacomp1b,ViTamin-L2-336,CLIP,ViTamin,687.9,336,DataComp-1b,0.8179000000000001,0.7944444444444444,0.9116321009918846,0.8179000000000001,0.7944444444444444,0.023455555555555674,0.9713222208637294,2.867777913627054
ViTamin-L-336_datacomp1b,ViTamin-L-336,CLIP,ViTamin,457.2,336,DataComp-1b,0.81644,0.8611111111111112,0.8856827973148983,0.81644,0.8611111111111112,-0.044671111111111106,1.0547145057948055,-5.471450579480562
ViT-H-14-CLIPA_datacomp1b,ViT-H-14-CLIPA,CLIPA,CLIPA,968.2,224,DataComp-1b,0.8150799999999999,0.8408759124087591,0.8713054804127843,0.8150799999999999,0.8408759124087591,-0.025795912408759225,1.031648319684889,-3.1648319684888877
