base_config,obj_1,obj_2,metric_1,metric_2,effect_pp
DataComp-1b / 224 / 400-600M / L / 14.0,CLIPA,CLIP,79.602,79.208,0.39400000000000546
LAION-2b / 224 / 200-400M / B / 32.0,CoCa,CLIP,63.44799999999999,61.75000000000001,1.6979999999999862
WebLI-10b / 224 / 200-400M / B / 16.0,SigLIP2,SigLIP,78.476,76.042,2.4339999999999975
WebLI-10b / 256 / 200-400M / B / 16.0,SigLIP2,SigLIP,79.304,75.836,3.4680000000000035
WebLI-10b / 256 / 600M-1B / L / 16.0,SigLIP2,SigLIP,82.35,80.444,1.9059999999999917
WebLI-10b / 384 / 200-400M / B / 16.0,SigLIP2,SigLIP,80.65,78.484,2.166000000000011
WebLI-10b / 384 / 600M-1B / L / 16.0,SigLIP2,SigLIP,83.232,82.08,1.152000000000001
WebLI-10b / 512 / 200-400M / B / 16.0,SigLIP2,SigLIP,81.274,79.12,2.1539999999999964
