,Top-1 Accuracy
total_params_M,0.6656209348916038
image_size,0.3795749692596045
patch_size_num,-0.8170401834387611
num_tokens,0.8351584726035365
embed_dim,0.8092586728259041
training_data_size_M,0.48160964793691996
