base_config,obj_1,obj_2,metric_1,metric_2,effect_pp
DataComp-1b / 224 / 400-600M / L / 14.0,CLIP,CLIPA,64.8,52.800000000000004,11.999999999999993
LAION-2b / 224 / 200-400M / B / 32.0,CLIP,CoCa,66.4,32.800000000000004,33.6
WebLI-10b / 224 / 200-400M / B / 16.0,SigLIP2,SigLIP,83.2,62.4,20.800000000000004
WebLI-10b / 256 / 200-400M / B / 16.0,SigLIP2,SigLIP,82.39999999999999,61.60000000000001,20.799999999999983
WebLI-10b / 256 / 600M-1B / L / 16.0,SigLIP,SigLIP2,36.8,34.4,2.3999999999999986
WebLI-10b / 384 / 200-400M / B / 16.0,SigLIP2,SigLIP,78.4,67.2,11.200000000000003
WebLI-10b / 384 / 600M-1B / L / 16.0,SigLIP,SigLIP2,56.8,38.4,18.4
WebLI-10b / 512 / 200-400M / B / 16.0,SigLIP2,SigLIP,77.60000000000001,65.60000000000001,12.0
