model_id,arch_family,training_objective,ImageNet,UrbanCars_WG,CelebA_WG,avg_wg
EVA02-L-14_merged2b_s4b_b131k,EVA,EVA,79.764,54.400000000000006,72.22222222222221,63.31111111111111
ViT-L-14-CLIPA_datacomp1b,CLIPA,CLIPA,79.602,52.800000000000004,87.11989351899253,69.95994675949626
convnext_xxlarge_laion2b_s34b_b82k_augreg_soup,ConvNeXt,CLIP,79.428,49.6,86.72058974096447,68.16029487048223
MobileCLIP2-B_dfndr2b,MobileCLIP2,CLIP,79.358,80.80000000000001,79.44444444444444,80.12222222222223
EVA01-g-14-plus_merged2b_s11b_b114k,EVA,EVA,79.318,46.400000000000006,86.40319443022423,66.40159721511212
ViT-B-16-SigLIP2-256_webli,SigLIP2,SigLIP2,79.304,82.39999999999999,86.66666666666667,84.53333333333333
convnext_xxlarge_laion2b_s34b_b82k_augreg_rewind,ConvNeXt,CLIP,79.296,40.8,86.63868127367667,63.71934063683833
ViT-L-14_datacomp_xl_s13b_b90k,CLIP,CLIP,79.208,64.8,80.55555555555556,72.67777777777778
ViT-L-14-quickgelu_metaclip_fullcc,CLIP,CLIP,79.192,44.0,83.88888888888889,63.94444444444444
ViT-B-16-SigLIP-512_webli,SigLIP,SigLIP,79.12,65.60000000000001,87.82635404934986,76.71317702467493
ViT-H-14-CLIPA-336_laion2b,CLIPA,CLIPA,79.112,70.39999999999999,87.41871267418713,78.90935633709356
convnext_xxlarge_laion2b_s34b_b82k_augreg,ConvNeXt,CLIP,79.038,63.2,87.05846216852667,75.12923108426334
EVA01-g-14_laion400m_s11b_b41k,EVA,EVA,78.5,71.2,79.44444444444444,75.32222222222222
ViT-H-14_metaclip_fullcc,CLIP,CLIP,78.492,32.800000000000004,72.77777777777777,52.78888888888889
ViT-B-16-SigLIP-384_webli,SigLIP,SigLIP,78.484,67.2,87.36561892085595,77.28280946042798
ViT-B-16-SigLIP2_webli,SigLIP2,SigLIP2,78.476,83.2,87.22222222222223,85.21111111111111
ViT-g-14_laion2b_s34b_b88k,CLIP,CLIP,78.452,64.0,80.55555555555556,72.27777777777777
PE-Core-B-16_meta,PE,CLIP,78.358,76.8,75.55555555555556,76.17777777777778
ViT-H-14_laion2b_s32b_b79k,CLIP,CLIP,77.928,48.8,84.44444444444444,66.62222222222222
MobileCLIP2-S2_dfndr2b,MobileCLIP2,CLIP,77.252,74.4,78.33333333333333,76.36666666666667
MobileCLIP-B_datacompdr_lt,MobileCLIP,CLIP,77.19,52.800000000000004,81.66666666666667,67.23333333333333
xlm-roberta-large-ViT-H-14_frozen_laion5b_s13b_b90k,XLM-RoBERTa-CLIP,CLIP,76.962,79.2,80.55555555555556,79.87777777777778
convnext_large_d_320_laion2b_s29b_b131k_ft_soup,ConvNeXt,CLIP,76.846,61.6,83.45056403450563,72.52528201725282
MobileCLIP-B_datacompdr,MobileCLIP,CLIP,76.834,67.2,87.22222222222223,77.21111111111111
ViT-L-14_metaclip_fullcc,CLIP,CLIP,76.658,52.0,85.0,68.5
ViT-g-14_laion2b_s12b_b42k,CLIP,CLIP,76.628,76.0,77.22222222222223,76.61111111111111
convnext_large_d_320_laion2b_s29b_b131k_ft,ConvNeXt,CLIP,76.594,60.0,84.44444444444444,72.22222222222223
ViT-B-16-SigLIP-256_webli,SigLIP,SigLIP,76.556,55.2,87.41681171291083,71.30840585645541
ViT-L-14-336-quickgelu_openai,CLIP,CLIP,76.546,33.6,75.55555555555556,54.57777777777778
ViT-L-14_commonpool_xl_clip_s13b_b90k,CLIP,CLIP,76.392,60.8,80.55555555555556,70.67777777777778
ViT-B-16_dfn2b,CLIP,CLIP,76.262,70.39999999999999,73.33333333333333,71.86666666666666
ViT-L-14-quickgelu_metaclip_400m,CLIP,CLIP,76.242,10.4,80.88918380889184,45.644591904445925
ViT-B-16-SigLIP_webli,SigLIP,SigLIP,76.042,62.4,87.27347189515716,74.83673594757857
convnext_large_d_laion2b_s26b_b102k_augreg,ConvNeXt,CLIP,75.894,64.8,84.06104844061049,74.43052422030524
coca_ViT-L-14_laion2b_s13b_b90k,CoCa,CoCa,75.646,64.8,78.88888888888889,71.84444444444443
ViT-L-14-quickgelu_openai,CLIP,CLIP,75.534,36.8,80.0,58.4
ViT-L-14_commonpool_xl_laion_s13b_b90k,CLIP,CLIP,75.466,53.6,81.11111111111111,67.35555555555555
ViT-B-16-quickgelu_dfn2b,CLIP,CLIP,75.45,65.60000000000001,66.66666666666666,66.13333333333333
ViT-L-14_laion2b_s32b_b82k,CLIP,CLIP,75.246,72.8,83.33333333333334,78.06666666666666
ViT-B-16-SigLIP-i18n-256_webli,SigLIP,SigLIP,75.116,68.0,85.85268745852687,76.92634372926344
EVA02-B-16_merged2b_s8b_b131k,EVA,EVA,74.73,65.60000000000001,77.22222222222223,71.41111111111113
