base_config,obj_1,obj_2,metric_1,metric_2,effect_pp
DataComp-1b / 224 / 400-600M / L / 14.0,CLIPA,CLIP,87.11989351899253,80.55555555555556,6.564337963436969
LAION-2b / 224 / 200-400M / B / 32.0,CLIP,CoCa,77.77777777777779,34.93077596896579,42.847001808811996
WebLI-10b / 224 / 200-400M / B / 16.0,SigLIP,SigLIP2,87.27347189515716,87.22222222222223,0.051249672934929436
WebLI-10b / 256 / 200-400M / B / 16.0,SigLIP2,SigLIP,86.66666666666667,86.63474958571885,0.031917080947820864
WebLI-10b / 256 / 600M-1B / L / 16.0,SigLIP,SigLIP2,85.92198218490836,85.51243984846934,0.40954233643901716
WebLI-10b / 384 / 200-400M / B / 16.0,SigLIP,SigLIP2,87.36561892085595,86.66666666666667,0.6989522541892796
WebLI-10b / 384 / 600M-1B / L / 16.0,SigLIP2,SigLIP,85.52267840688032,84.28666224286663,1.2360161640136909
WebLI-10b / 512 / 200-400M / B / 16.0,SigLIP,SigLIP2,87.82635404934986,86.66666666666667,1.1596873826831882
