Feature,Importance
Data Size (M),0.5019953403909401
Training Data,0.1763869485505795
Params (M),0.09942869834277068
Tokens,0.092033457777659
Patch Size,0.05387448373370564
Embed Dim,0.0394343223962384
Image Size,0.018876673981437154
Architecture,0.014489624409329941
Objective,0.0034804504173397977
