Feature,Importance
Data Size (M),0.7913316314952707
Tokens,0.08080164701539058
Params (M),0.036155725067615385
Training Data,0.03408670626519216
Patch Size,0.02368390291783085
Embed Dim,0.01825510015075052
Architecture,0.01500068601643822
Image Size,0.0006846010715115824
Objective,0.0
