Feature,Importance
Data Size (M),0.6231040293602325
Training Data,0.0968044940357851
Patch Size,0.08967406457130682
Architecture,0.06695406608037474
Params (M),0.06627306666542077
Embed Dim,0.03719344600094997
Tokens,0.012576242083658321
Image Size,0.006586595689198711
Objective,0.0008339955130731699
