model_name,pretrained_tag,model_id,arch_family,vit_size,patch_size,image_size,training_data,quickgelu,embed_dim,total_params_M,top1_accuracy,top5_accuracy,total_images,load_time_s,classifier_time_s,eval_time_s,resnet_depth,resnet_multiplier
ViT-L-14,commonpool_xl_clip_s13b_b90k,ViT-L-14_commonpool_xl_clip_s13b_b90k,CLIP,L,14.0,224,CommonPool-12.8b,False,768.0,427.6,76.392,94.778,50000,27.5,20.5,152.0,,
ViT-B-16,dfn2b,ViT-B-16_dfn2b,CLIP,B,16.0,224,DFNDR-2b,False,512.0,149.6,76.262,94.608,50000,9.9,11.0,60.4,,
ViT-L-14-quickgelu,metaclip_400m,ViT-L-14-quickgelu_metaclip_400m,CLIP,L,14.0,224,MetaCLIP-400m,True,768.0,427.6,76.242,94.538,50000,28.9,15.3,104.9,,
ViT-B-16-SigLIP,webli,ViT-B-16-SigLIP_webli,SigLIP,B,16.0,224,WebLI-10b,False,,203.2,76.042,94.392,50000,16.1,10.7,73.3,,
convnext_large_d,laion2b_s26b_b102k_augreg,convnext_large_d_laion2b_s26b_b102k_augreg,ConvNeXt,,,256,LAION-2b,False,,351.8,75.894,94.64,50000,23.2,27.3,106.9,,
coca_ViT-L-14,laion2b_s13b_b90k,coca_ViT-L-14_laion2b_s13b_b90k,CoCa,L,14.0,224,LAION-2b,False,768.0,638.5,75.646,94.28,50000,32.4,21.4,153.0,,
ViT-L-14-quickgelu,openai,ViT-L-14-quickgelu_openai,CLIP,L,14.0,224,OpenAI-400m,True,768.0,427.6,75.534,94.58,50000,22.3,15.3,104.7,,
ViT-L-14,commonpool_xl_laion_s13b_b90k,ViT-L-14_commonpool_xl_laion_s13b_b90k,CLIP,L,14.0,224,CommonPool-12.8b,False,768.0,427.6,75.466,94.644,50000,23.4,20.5,152.0,,
ViT-B-16-quickgelu,dfn2b,ViT-B-16-quickgelu_dfn2b,CLIP,B,16.0,224,DFN-2b,True,512.0,149.6,75.45,94.326,50000,11.2,8.9,75.3,,
ViT-L-14,laion2b_s32b_b82k,ViT-L-14_laion2b_s32b_b82k,CLIP,L,14.0,224,LAION-2b,False,768.0,427.6,75.246,94.242,50000,28.6,20.5,151.6,,
ViT-B-16-SigLIP-i18n-256,webli,ViT-B-16-SigLIP-i18n-256_webli,SigLIP,B,16.0,256,WebLI-10b,False,,370.6,75.116,94.238,50000,71.0,10.7,57.5,,
EVA02-B-16,merged2b_s8b_b131k,EVA02-B-16_merged2b_s8b_b131k,EVA,,16.0,224,Merged-2b,False,,149.7,74.73,94.244,50000,12.4,11.0,66.9,,
MobileCLIP-S2,datacompdr,MobileCLIP-S2_datacompdr,MobileCLIP,,14.0,256,DataComp-1b,False,,99.2,74.432,94.4,50000,9.2,7.2,55.0,,
PE-Core-bigG-14-448,meta,PE-Core-bigG-14-448_meta,PE,,14.0,448,MetaCLIP-5.4b,False,,2419.3,74.242,94.33,50000,375.9,52.4,1976.5,,
ViT-L-14-336,openai,ViT-L-14-336_openai,CLIP,L,14.0,336,OpenAI-400m,False,768.0,427.9,73.996,94.006,50000,7.6,20.7,332.8,,
RN50x64-quickgelu,openai,RN50x64-quickgelu_openai,ResNet,,,448,OpenAI-400m,True,1024.0,623.3,73.914,94.16,50000,46.6,23.0,348.2,50.0,x64
ViT-B-32-SigLIP2-256,webli,ViT-B-32-SigLIP2-256_webli,SigLIP2,B,32.0,256,WebLI-10b,False,,376.9,73.85,93.444,50000,40.4,11.0,57.7,,
ViT-B-16,datacomp_xl_s13b_b90k,ViT-B-16_datacomp_xl_s13b_b90k,CLIP,B,16.0,224,DataComp-1b,False,512.0,149.6,73.482,93.284,50000,10.3,11.0,60.7,,
RN50x64,openai,RN50x64_openai,ResNet,,,448,OpenAI-400m,False,1024.0,623.3,73.226,93.934,50000,52.1,32.8,536.0,50.0,x64
ViT-L-14,metaclip_400m,ViT-L-14_metaclip_400m,CLIP,L,14.0,224,MetaCLIP-400m,False,768.0,427.6,73.19,93.032,50000,7.8,20.7,152.2,,
ViT-L-14,openai,ViT-L-14_openai,CLIP,L,14.0,224,OpenAI-400m,False,768.0,427.6,72.87,93.42,50000,7.4,20.5,151.7,,
ViT-B-32-256,datacomp_s34b_b86k,ViT-B-32-256_datacomp_s34b_b86k,CLIP,B,32.0,256,DataComp-1b,False,512.0,151.3,72.81,92.574,50000,11.3,11.0,62.3,,
ViT-L-14,laion400m_e32,ViT-L-14_laion400m_e32,CLIP,L,14.0,224,LAION-400m,False,768.0,427.6,72.754,92.936,50000,49.7,20.4,151.9,,
ViT-L-14,laion400m_e31,ViT-L-14_laion400m_e31,CLIP,L,14.0,224,LAION-400m,False,768.0,427.6,72.694,92.978,50000,65.7,20.4,151.5,,
MobileCLIP-S1,datacompdr,MobileCLIP-S1_datacompdr,MobileCLIP,,16.0,256,DataComp-1b,False,,85.0,72.594,93.632,50000,6.8,7.2,55.4,,
PE-Core-S-16-384,meta,PE-Core-S-16-384_meta,PE,,16.0,384,MetaCLIP-5.4b,False,,87.2,72.452,93.23,50000,14.9,3.7,72.3,,
ViT-L-14,commonpool_xl_s13b_b90k,ViT-L-14_commonpool_xl_s13b_b90k,CLIP,L,14.0,224,CommonPool-12.8b,False,768.0,427.6,72.292,93.376,50000,28.0,20.5,151.9,,
ViT-B-16-quickgelu,metaclip_fullcc,ViT-B-16-quickgelu_metaclip_fullcc,CLIP,B,16.0,224,CommonCrawl-2.5b,True,512.0,149.6,72.146,93.398,50000,17.6,8.9,75.8,,
coca_ViT-L-14,mscoco_finetuned_laion2b_s13b_b90k,coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,CoCa,L,14.0,224,LAION-2b,False,768.0,638.5,72.136,93.264,50000,33.0,21.5,153.5,,
convnext_base_w_320,laion_aesthetic_s13b_b82k,convnext_base_w_320_laion_aesthetic_s13b_b82k,ConvNeXt,,,320,LAION-A-900m,False,,179.4,71.69,92.552,50000,13.7,15.4,96.7,,
MobileCLIP2-S0,dfndr2b,MobileCLIP2-S0_dfndr2b,MobileCLIP2,,16.0,256,DFNDR-2b,False,,74.8,71.57,92.814,50000,9.5,7.2,51.6,,
convnext_base_w,laion2b_s13b_b82k_augreg,convnext_base_w_laion2b_s13b_b82k_augreg,ConvNeXt,,,256,LAION-2b,False,,179.4,71.45,92.738,50000,11.8,15.4,72.5,,
convnext_base_w_320,laion_aesthetic_s13b_b82k_augreg,convnext_base_w_320_laion_aesthetic_s13b_b82k_augreg,ConvNeXt,,,320,LAION-A-900m,False,,179.4,71.264,92.47,50000,14.5,15.4,96.1,,
convnext_base_w,laion_aesthetic_s13b_b82k,convnext_base_w_laion_aesthetic_s13b_b82k,ConvNeXt,,,256,LAION-A-900m,False,,179.4,70.974,92.162,50000,14.7,15.4,73.4,,
ViT-B-16-quickgelu,metaclip_400m,ViT-B-16-quickgelu_metaclip_400m,CLIP,B,16.0,224,MetaCLIP-400m,True,512.0,149.6,70.81,92.532,50000,18.2,8.9,75.9,,
convnext_base_w,laion2b_s13b_b82k,convnext_base_w_laion2b_s13b_b82k,ConvNeXt,,,256,LAION-2b,False,,179.4,70.794,92.212,50000,14.1,15.4,73.5,,
ViTamin-B-LTT,datacomp1b,ViTamin-B-LTT_datacomp1b,ViTamin,,14.0,224,DataComp-1b,False,,211.4,70.736,92.816,50000,4.5,12.9,57.1,,
RN50x16-quickgelu,openai,RN50x16-quickgelu_openai,ResNet,,,384,OpenAI-400m,True,768.0,291.0,70.72,92.808,50000,20.7,15.3,130.6,50.0,x16
ViT-B-16,laion2b_s34b_b88k,ViT-B-16_laion2b_s34b_b88k,CLIP,B,16.0,224,LAION-2b,False,512.0,149.6,70.208,91.76,50000,12.7,11.0,60.2,,
RN50x16,openai,RN50x16_openai,ResNet,,,384,OpenAI-400m,False,768.0,291.0,70.154,92.41,50000,20.0,20.5,203.4,50.0,x16
ViT-B-32,datacomp_xl_s13b_b90k,ViT-B-32_datacomp_xl_s13b_b90k,CLIP,B,32.0,224,DataComp-12.8b,False,512.0,151.3,69.194,90.632,50000,11.2,11.0,57.0,,
ViTamin-B,datacomp1b,ViTamin-B_datacomp1b,ViTamin,,14.0,224,DataComp-1b,False,,151.0,69.084,91.67,50000,3.8,7.3,58.2,,
ViT-B-16-plus-240,laion400m_e32,ViT-B-16-plus-240_laion400m_e32,CLIP,B,16.0,240,LAION-400m,False,640.0,208.4,69.056,91.422,50000,2.0,15.4,66.6,,
ViT-B-16-plus-240,laion400m_e31,ViT-B-16-plus-240_laion400m_e31,CLIP,B,16.0,240,LAION-400m,False,640.0,208.4,69.056,91.422,50000,29.5,15.3,65.6,,
ViT-B-16,metaclip_fullcc,ViT-B-16_metaclip_fullcc,CLIP,B,16.0,224,CommonCrawl-2.5b,False,512.0,149.6,68.69,91.762,50000,2.9,11.0,61.4,,
ViT-B-16-quickgelu,openai,ViT-B-16-quickgelu_openai,CLIP,B,16.0,224,OpenAI-400m,True,512.0,149.6,68.336,91.864,50000,8.5,8.9,76.3,,
ViT-B-32-quickgelu,metaclip_fullcc,ViT-B-32-quickgelu_metaclip_fullcc,CLIP,B,32.0,224,CommonCrawl-2.5b,True,512.0,151.3,67.62,90.556,50000,19.2,8.9,75.9,,
ViT-B-16,metaclip_400m,ViT-B-16_metaclip_400m,CLIP,B,16.0,224,MetaCLIP-400m,False,512.0,149.6,67.102,90.52,50000,2.9,11.0,59.7,,
ViT-B-16,laion400m_e32,ViT-B-16_laion400m_e32,CLIP,B,16.0,224,LAION-400m,False,512.0,149.6,67.054,90.422,50000,19.6,11.0,60.0,,
ViT-B-16,laion400m_e31,ViT-B-16_laion400m_e31,CLIP,B,16.0,224,LAION-400m,False,512.0,149.6,66.988,90.354,50000,18.4,11.0,60.2,,
ViT-B-32,laion2b_s34b_b79k,ViT-B-32_laion2b_s34b_b79k,CLIP,B,32.0,224,LAION-2b,False,512.0,151.3,66.548,89.882,50000,13.0,11.0,55.8,,
convnext_base,laion400m_s13b_b51k,convnext_base_laion400m_s13b_b51k,ConvNeXt,,,224,LAION-400m,False,,151.5,66.278,89.68,50000,10.2,11.0,64.0,,
RN50x4-quickgelu,openai,RN50x4-quickgelu_openai,ResNet,,,288,OpenAI-400m,True,640.0,178.3,66.254,90.472,50000,20.8,11.8,87.7,50.0,x4
ViT-B-32,laion2b_e16,ViT-B-32_laion2b_e16,CLIP,B,32.0,224,LAION-2b,False,512.0,151.3,65.652,89.378,50000,24.4,11.0,55.9,,
ViT-B-32-quickgelu,metaclip_400m,ViT-B-32-quickgelu_metaclip_400m,CLIP,B,32.0,224,MetaCLIP-400m,True,512.0,151.3,65.578,89.218,50000,25.8,8.9,75.6,,
ViT-B-32,metaclip_fullcc,ViT-B-32_metaclip_fullcc,CLIP,B,32.0,224,CommonCrawl-2.5b,False,512.0,151.3,64.876,89.028,50000,2.9,11.0,55.8,,
RN50x4,openai,RN50x4_openai,ResNet,,,288,OpenAI-400m,False,640.0,178.3,64.836,89.824,50000,21.9,15.3,80.1,50.0,x4
