,WG Acc,Gap
total_params_M,0.12426144759392325,0.12209288678749464
image_size,0.15339140252881545,-0.05383413934675749
patch_size_num,-0.12990388389896398,-0.026628997678245288
num_tokens,0.15590510425154638,0.00450082669742409
embed_dim,0.10006890302598918,0.11996258894272158
training_data_size_M,0.5304668460274993,-0.29813679514602437
