model_id,model_name,training_objective,arch_family,total_params_M,image_size,training_data,top1_accuracy,worst_group_accuracy,avg_accuracy,accuracy_gap,imagenet_acc,wg_acc,robustness_gap,robustness_ratio
ViT-gopt-16-SigLIP2-384_webli,ViT-gopt-16-SigLIP2-384,SigLIP2,SigLIP2,1871.9,384,WebLI-10b,0.84956,0.857786423671547,0.8777176635607654,0.01993123988921841,0.84956,0.857786423671547,-0.008226423671547023,1.0096831579541727
ViT-gopt-16-SigLIP2-256_webli,ViT-gopt-16-SigLIP2-256,SigLIP2,SigLIP2,1871.4,256,WebLI-10b,0.84458,0.8592198218490836,0.8785191864542631,0.019299364605179448,0.84458,0.8592198218490836,-0.014639821849083634,1.0173338485982188
ViT-H-14-378-quickgelu_dfn5b,ViT-H-14-378-quickgelu,CLIP,CLIP,986.7,378,DFN-5b,0.84328,0.8611111111111112,0.8981564973449554,0.037045386233844235,0.84328,0.8611111111111112,-0.01783111111111113,1.0211449472430405
ViT-SO400M-16-SigLIP2-512_webli,ViT-SO400M-16-SigLIP2-512,SigLIP2,SigLIP2,1136.6,512,WebLI-10b,0.8427800000000001,0.8658748848162179,0.8863841298467088,0.020509245030490897,0.8427800000000001,0.8658748848162179,-0.023094884816217798,1.027403218890123
ViT-SO400M-16-SigLIP2-384_webli,ViT-SO400M-16-SigLIP2-384,SigLIP2,SigLIP2,1136.0,384,WebLI-10b,0.84178,0.8727347189515716,0.8863841298467088,0.01364941089513716,0.84178,0.8727347189515716,-0.030954718951571647,1.0367729323000923
ViT-SO400M-14-SigLIP2-378_webli,ViT-SO400M-14-SigLIP2-378,SigLIP2,SigLIP2,1136.0,378,WebLI-10b,0.8409399999999999,0.870891778437596,0.8851818455064623,0.014290067068866263,0.8409399999999999,0.870891778437596,-0.02995177843759611,1.035617021948767
ViT-L-16-SigLIP2-512_webli,ViT-L-16-SigLIP2-512,SigLIP2,SigLIP2,882.3,512,WebLI-10b,0.83498,0.8563530254940105,0.8860334635808035,0.029680438086792993,0.83498,0.8563530254940105,-0.021373025494010434,1.0255970508203913
PE-Core-L-14-336_meta,PE-Core-L-14-336,CLIP,PE,671.1,336,MetaCLIP-5.4b,0.8348399999999999,0.5833333333333334,0.9146879070233443,0.331354573690011,0.8348399999999999,0.5833333333333334,0.25150666666666655,0.6987366840751922
ViT-H-14-quickgelu_dfn5b,ViT-H-14-quickgelu,CLIP,CLIP,986.1,224,DFN-5b,0.8340000000000001,0.8703798505170472,0.8886885081655145,0.01830865764846723,0.8340000000000001,0.8703798505170472,-0.036379850517047174,1.0436209238813514
ViT-SO400M-16-SigLIP2-256_webli,ViT-SO400M-16-SigLIP2-256,SigLIP2,SigLIP2,1135.7,256,WebLI-10b,0.83282,0.8642367154704618,0.8819256587516281,0.017688943281166325,0.83282,0.8642367154704618,-0.031416715470461765,1.037723296114961
