model_id,model_name,training_objective,arch_family,total_params_M,image_size,training_data,top1_accuracy,worst_group_accuracy,avg_accuracy,accuracy_gap,imagenet_acc,wg_acc,robustness_gap,robustness_ratio
ViT-H-14_metaclip_altogether,ViT-H-14,CLIP,CLIP,986.1,224,MetaCLIP2-2.5b,0.81932,0.336,0.781,0.445,0.81932,0.336,0.48332,0.4100961773177757
MobileCLIP2-L-14_dfndr2b,MobileCLIP2-L-14,CLIP,MobileCLIP2,427.6,224,DFNDR-2b,0.81906,0.824,0.894,0.07000000000000006,0.81906,0.824,-0.0049399999999999444,1.00603130417796
MobileCLIP2-S4_dfndr2b,MobileCLIP2-S4,CLIP,MobileCLIP2,445.4,256,DFNDR-2b,0.8184999999999999,0.824,0.872,0.04800000000000004,0.8184999999999999,0.824,-0.00550000000000006,1.0067196090409285
ViT-H-14-CLIPA-336_datacomp1b,ViT-H-14-CLIPA-336,CLIPA,CLIPA,968.6,336,DataComp-1b,0.81798,0.784,0.866,0.08199999999999996,0.81798,0.784,0.03398000000000001,0.9584586420205873
ViTamin-L-384_datacomp1b,ViTamin-L-384,CLIP,ViTamin,457.4,384,DataComp-1b,0.81794,0.552,0.804,0.252,0.81794,0.552,0.26593999999999995,0.6748661270997873
ViTamin-L2-336_datacomp1b,ViTamin-L2-336,CLIP,ViTamin,687.9,336,DataComp-1b,0.8179000000000001,0.648,0.821,0.17299999999999993,0.8179000000000001,0.648,0.16990000000000005,0.7922728939968211
ViTamin-L-336_datacomp1b,ViTamin-L-336,CLIP,ViTamin,457.2,336,DataComp-1b,0.81644,0.632,0.837,0.20499999999999996,0.81644,0.632,0.18444000000000005,0.7740924011562392
ViT-H-14-CLIPA_datacomp1b,ViT-H-14-CLIPA,CLIPA,CLIPA,968.2,224,DataComp-1b,0.8150799999999999,0.792,0.859,0.06699999999999995,0.8150799999999999,0.792,0.02307999999999988,0.9716837611032048
ViTamin-L2-256_datacomp1b,ViTamin-L2-256,CLIP,ViTamin,687.7,256,DataComp-1b,0.8140000000000001,0.64,0.817,0.17699999999999994,0.8140000000000001,0.64,0.17400000000000004,0.7862407862407862
ViTamin-XL-384_datacomp1b,ViTamin-XL-384,CLIP,ViTamin,924.8,256,DataComp-1b,0.81384,0.424,0.768,0.34400000000000003,0.81384,0.424,0.38984,0.5209869261771355
