,WG Acc,Gap
total_params_M,0.5354647349485181,-0.5216915567581771
image_size,0.16231730920221063,-0.1500438881584803
patch_size_num,-0.25485995605511885,0.1786719879444288
num_tokens,0.277689136036947,-0.20539011617378783
embed_dim,0.48986824059055356,-0.45206995180765785
training_data_size_M,0.4300344342516066,-0.24564019852569555
