,Worst-Group Accuracy
total_params_M,0.06000658657342032
image_size,0.18407071281201134
patch_size_num,-0.27045767861910847
num_tokens,0.2964031904211226
embed_dim,0.1867569786680611
training_data_size_M,0.5059795069199622
