base_config,from_patch,to_patch,from_metric,to_metric,effect_pp,direction
CLIP / LAION-400m / B,16,32,68.0385,61.59100000000001,-6.447499999999991,increase
SigLIP2 / WebLI-10b / B,16,32,79.926,73.85,-6.076000000000008,increase
CLIP / CommonCrawl-2.5b / B,16,32,70.418,66.24799999999999,-4.170000000000016,increase
CLIP / MetaCLIP-400m / B,16,32,68.956,63.636,-5.32,increase
CLIP / OpenAI-400m / B,16,32,66.36500000000001,61.477000000000004,-4.888000000000005,increase
CLIP / DataComp-1b / B,16,32,68.291,72.81,4.5190000000000055,increase
CLIP / LAION-2b / B,16,32,70.208,66.10000000000001,-4.10799999999999,increase
