,avg_accuracy,worst_group_accuracy,accuracy_gap
total_params_M,-0.0979552202159746,0.608560688245141,-0.5929515224813229
image_size,-0.04320188033545606,0.3077111816620168,-0.28641469711367906
patch_size,-0.08768254913918712,-0.6361058775780737,0.523123897955432
embed_dim,-0.03166307001746673,0.6815512122435272,-0.6202305165350205
training_samples_M,-0.22979778870447984,-0.3520043781611602,0.20974679890767223
n_tokens,0.063098416627262,0.6520133881430041,-0.5448613968174033
vit_size_rank,-0.04709868624077566,0.6775601988165497,-0.6210854984605138
