method,Accuracy Generated Set,rank
flac,95.81818237304688,1
badd,95.51515197753906,2
maviasb,94.0,3
groupdro,93.9999984741211,4
lff,81.75757598876953,5
debian,81.61616134643555,6
end,81.5757568359375,7
jtt,80.78787994384766,8
di,74.24242401123047,9
erm,73.53535334269206,10
sd,72.84848480224609,11
bb,14.000000190734863,12
