Method,MeanRank,StdRank
mavias,2.5,1.3228756555322954
badd,3.0,2.6457513110645907
di,4.166666666666667,3.547299442298794
bb,5.0,2.6457513110645907
flac,6.333333333333333,2.309401076758503
debian,6.666666666666667,4.163331998932265
end,6.666666666666667,3.214550253664318
jtt,6.666666666666667,3.0550504633038935
lff,7.0,3.0
sd,7.0,2.0
groupdro,11.333333333333334,0.5773502691896255
erm,11.666666666666666,0.5773502691896255
