method,Test Worst Group Accuracy,rank
groupdro,52.459999322891235,1
maviasb,46.75999999046326,2
badd,43.140000104904175,3
di,31.324999779462814,4
flac,29.860000014305115,5
lff,27.87999987602234,6
debian,25.700000524520874,7
erm,25.39999932050705,8
end,24.90000029404958,9
sd,19.100000262260437,10
jtt,18.850000388920307,11
bb,0.0,12
