model_name,pretrained_tag,model_id,arch_family,resnet_depth,resnet_multiplier,patch_size,image_size,training_data,quickgelu,embed_dim,total_params_M,avg_accuracy,overall_accuracy,worst_group_accuracy,worst_group,best_group_accuracy,best_group,accuracy_gap,total_images,load_time_s,encode_time_s,acc_blonde_female,acc_blonde_male,acc_non-blonde_female,acc_non-blonde_male,vit_size
ViT-B-16-quickgelu,dfn2b,ViT-B-16-quickgelu_dfn2b,ViT,,,16.0,224,DFN,True,512.0,149.6,0.9281635106702735,0.9281635106702735,0.6666666666666666,blonde_male,0.9631055076310551,non-blonde_male,0.26149684400360684,19962,49.3,35.7,0.8745967741935484,0.6666666666666666,0.9196273164738404,0.9631055076310551,B
ViT-L-14,dfn2b,ViT-L-14_dfn2b,ViT,,,14.0,224,DFN,False,768.0,427.6,0.925959322713155,0.925959322713155,0.6722222222222223,blonde_male,0.9635036496350365,non-blonde_male,0.2537371004909327,19962,20.2,62.4,0.9112903225806451,0.6722222222222223,0.9053957202825842,0.9635036496350365,L
MobileCLIP2-S4,dfndr2b,MobileCLIP2-S4_dfndr2b,MobileCLIP,,,,256,DFN,False,,445.4,0.9225027552349464,0.9225027552349464,0.7722222222222223,blonde_male,0.948905109489051,non-blonde_male,0.15028053301272415,19962,21.6,57.3,0.9125,0.7722222222222223,0.9074434319647794,0.948905109489051,
MobileCLIP2-S3,dfndr2b,MobileCLIP2-S3_dfndr2b,MobileCLIP,,,,256,DFN,False,,248.9,0.9220018034265104,0.9220018034265104,0.7944444444444444,blonde_male,0.9447909754479098,non-blonde_male,0.127557358982066,19962,31.4,46.4,0.9108870967741935,0.7944444444444444,0.9095935292310843,0.9447909754479098,
MobileCLIP2-S2,dfndr2b,MobileCLIP2-S2_dfndr2b,MobileCLIP,,,,256,DFN,False,,99.2,0.9213004708946999,0.9213004708946999,0.7833333333333333,blonde_male,0.9495686794956868,non-blonde_male,0.13796713756136658,19962,6.7,42.0,0.9100806451612903,0.7833333333333333,0.9048837923620354,0.9495686794956868,
MobileCLIP2-B,dfndr2b,MobileCLIP2-B_dfndr2b,MobileCLIP,,,,224,DFN,False,,149.8,0.9202484720969842,0.9202484720969842,0.7944444444444444,blonde_male,0.9438619774386198,non-blonde_male,0.12580402765253984,19962,8.6,29.3,0.9116935483870968,0.7944444444444444,0.9065219617077915,0.9438619774386198,
ViTamin-S,datacomp1b,ViTamin-S_datacomp1b,ViT,,,,224,DataComp,False,,62.5,0.9199479010119227,0.9199479010119227,0.6888888888888889,blonde_male,0.9503649635036496,non-blonde_male,0.2310590121230338,19962,2.0,32.5,0.8814516129032258,0.6888888888888889,0.9105149994880721,0.9503649635036496,
MobileCLIP2-S0,dfndr2b,MobileCLIP2-S0_dfndr2b,MobileCLIP,,,,256,DFN,False,,74.8,0.9197475202885482,0.9197475202885482,0.7777777777777778,blonde_male,0.9490378234903782,non-blonde_male,0.14196974251077044,19962,5.7,33.6,0.9056451612903226,0.7777777777777778,0.9033480086003891,0.9490378234903782,
ViT-L-14-quickgelu,dfn2b,ViT-L-14-quickgelu_dfn2b,ViT,,,14.0,224,DFN,True,768.0,427.6,0.9192966636609559,0.9192966636609559,0.7666666666666667,blonde_male,0.9455872594558726,non-blonde_male,0.15262999699428914,19962,19.1,68.5,0.915725806451613,0.7666666666666667,0.9027336950957305,0.9455872594558726,L
MobileCLIP2-L-14,dfndr2b,MobileCLIP2-L-14_dfndr2b,MobileCLIP,,,,224,DFN,False,,427.6,0.918645426309989,0.918645426309989,0.8055555555555556,blonde_male,0.9422694094226941,non-blonde_male,0.11308987075443344,19962,21.0,55.0,0.9197580645161291,0.8055555555555556,0.9022217671751818,0.9422694094226941,
