model_name,pretrained_tag,model_id,arch_family,resnet_depth,resnet_multiplier,patch_size,image_size,training_data,quickgelu,embed_dim,total_params_M,avg_accuracy,overall_accuracy,worst_group_accuracy,worst_group,best_group_accuracy,best_group,accuracy_gap,total_images,load_time_s,encode_time_s,acc_blonde_female,acc_blonde_male,acc_non-blonde_female,acc_non-blonde_male,vit_size
RN50x16-quickgelu,openai,RN50x16-quickgelu_openai,ResNet,50.0,x16,,384,OpenAI-400m,True,768.0,291.0,0.916240857629496,0.916240857629496,0.7222222222222222,blonde_male,0.951878775468414,non-blonde_female,0.1940186354072738,19962,22.2,99.8,0.7391129032258065,0.7222222222222222,0.951878775468414,0.9329794293297944,
ViT-g-14,laion2b_s12b_b42k,ViT-g-14_laion2b_s12b_b42k,CLIP,,,14.0,224,LAION-2b,False,1024.0,1366.7,0.9157900010019036,0.9157900010019036,0.7722222222222223,blonde_male,0.939482415394824,non-blonde_male,0.1435677787796814,19962,58.3,138.4,0.896774193548387,0.7722222222222223,0.9049861779461452,0.939482415394824,g
MobileCLIP-S1,datacompdr,MobileCLIP-S1_datacompdr,MobileCLIP,,,16.0,256,DataComp-1b,False,,85.0,0.9155896202785292,0.9155896202785292,0.85,blonde_male,0.9244394389269992,non-blonde_female,0.0655896202785292,19962,6.0,40.5,0.8713709677419355,0.85,0.9244394389269992,0.9202388852023888,
ViT-B-16,dfn2b,ViT-B-16_dfn2b,CLIP,,,16.0,224,DFNDR-2b,False,512.0,149.6,0.9150385732892496,0.9150385732892496,0.7333333333333333,blonde_male,0.9454545454545454,non-blonde_male,0.1817052399559162,19962,8.5,34.2,0.9112903225806452,0.7333333333333333,0.8958738609603768,0.9454545454545454,B
ViT-B-16,metaclip_400m,ViT-B-16_metaclip_400m,CLIP,,,16.0,224,MetaCLIP-400m,False,512.0,149.6,0.9146879070233443,0.9146879070233443,0.6444444444444445,blonde_male,0.9376244193762442,non-blonde_male,0.2702434625788998,19962,2.9,34.1,0.8383064516129032,0.6444444444444445,0.9213678714037064,0.9376244193762442,B
PE-Core-L-14-336,meta,PE-Core-L-14-336_meta,PE,,,14.0,336,MetaCLIP-5.4b,False,,671.1,0.9146879070233443,0.9146879070233443,0.5833333333333334,blonde_male,0.9514266755142669,non-blonde_male,0.331354573690011,19962,32.5,131.1,0.902016129032258,0.5833333333333334,0.8956690897921573,0.9514266755142669,
ViT-H-14,metaclip_fullcc,ViT-H-14_metaclip_fullcc,CLIP,,,14.0,224,CommonCrawl-2.5b,False,1024.0,986.1,0.9138362889490032,0.9138362889490032,0.7277777777777777,blonde_male,0.9368281353682814,non-blonde_male,0.1860585111712254,19962,42.2,99.9,0.9048387096774192,0.7277777777777777,0.9018122248387428,0.9368281353682814,H
ViT-B-32,datacomp_xl_s13b_b90k,ViT-B-32_datacomp_xl_s13b_b90k,CLIP,,,32.0,224,DataComp-12.8b,False,512.0,151.3,0.9138362889490032,0.9138362889490032,0.8333333333333334,blonde_male,0.9337757133377572,non-blonde_male,0.0805029556156697,19962,5.6,29.0,0.9201612903225806,0.8333333333333334,0.898331114979011,0.9337757133377572,B
ViTamin-B-LTT,datacomp1b,ViTamin-B-LTT_datacomp1b,ViTamin,,,14.0,224,DataComp-1b,False,,211.4,0.9135357178639416,0.9135357178639416,0.8111111111111111,blonde_male,0.9230258792302588,non-blonde_male,0.1024246067528303,19962,4.5,42.8,0.8870967741935484,0.8111111111111111,0.914815194020682,0.9230258792302588,
ViT-B-32-quickgelu,metaclip_400m,ViT-B-32-quickgelu_metaclip_400m,CLIP,,,32.0,224,MetaCLIP-400m,True,512.0,151.3,0.9135357178639416,0.9135357178639416,0.7055555555555556,blonde_male,0.9474452554744526,non-blonde_male,0.2079801623083859,19962,8.7,29.7,0.8891129032258065,0.7055555555555556,0.8974096447220231,0.9474452554744526,B
MobileCLIP-B,datacompdr_lt,MobileCLIP-B_datacompdr_lt,MobileCLIP,,,16.0,224,DataComp-1b,False,,149.8,0.9127842901512876,0.9127842901512876,0.8166666666666667,blonde_male,0.9234240212342402,non-blonde_male,0.0961176234846208,19962,8.7,29.1,0.9032258064516128,0.8166666666666667,0.9087744445582062,0.9234240212342402,
ViT-L-14,dfn2b_s39b,ViT-L-14_dfn2b_s39b,CLIP,,,14.0,224,DFN-2b,False,768.0,427.6,0.9125338142470696,0.9125338142470696,0.8277777777777777,blonde_male,0.9335102853351028,non-blonde_male,0.0847560364692917,19962,20.3,62.7,0.9185483870967742,0.8277777777777777,0.8963857888809256,0.9335102853351028,L
ViT-B-16,commonpool_l_basic_s1b_b8k,ViT-B-16_commonpool_l_basic_s1b_b8k,CLIP,,,16.0,224,CommonPool-1b,False,512.0,149.6,0.912333433523695,0.912333433523695,0.6277777777777778,blonde_male,0.9625746516257464,non-blonde_male,0.2845556557459172,19962,8.6,34.2,0.8971774193548387,0.6277777777777778,0.8826661206102181,0.9625746516257464,B
coca_ViT-L-14,mscoco_finetuned_laion2b_s13b_b90k,coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,CoCa,,,14.0,224,LAION-2b,False,768.0,638.5,0.9122833383428516,0.9122833383428516,0.8277777777777777,blonde_male,0.9268966929456331,non-blonde_female,0.0845055605650737,19962,26.3,63.5,0.8568548387096774,0.8277777777777777,0.9268966929456331,0.913603185136032,L
ViT-B-16-plus-240,laion400m_e31,ViT-B-16-plus-240_laion400m_e31,CLIP,,,16.0,240,LAION-400m,False,640.0,208.4,0.9122332431620078,0.9122332431620078,0.7444444444444445,blonde_male,0.9358991373589912,non-blonde_male,0.1677887987175633,19962,11.0,40.2,0.9125,0.7444444444444445,0.8970001023855841,0.9358991373589912,B
ViT-B-16-plus-240,laion400m_e32,ViT-B-16-plus-240_laion400m_e32,CLIP,,,16.0,240,LAION-400m,False,640.0,208.4,0.9122332431620078,0.9122332431620078,0.7444444444444445,blonde_male,0.9358991373589912,non-blonde_male,0.1677887987175633,19962,1.9,40.0,0.9125,0.7444444444444445,0.8970001023855841,0.9358991373589912,B
RN50x16,openai,RN50x16_openai,ResNet,50.0,x16,,384,OpenAI-400m,False,768.0,291.0,0.9119827672577898,0.9119827672577898,0.7333333333333333,blonde_male,0.94942152144978,non-blonde_female,0.1786494339244565,19962,2.8,104.8,0.7504032258064516,0.7333333333333333,0.94942152144978,0.9209024552090246,
ViTamin-L2-336,datacomp1b,ViTamin-L2-336_datacomp1b,ViTamin,,,14.0,336,DataComp-1b,False,,687.9,0.9116321009918846,0.9116321009918846,0.7944444444444444,blonde_male,0.9244857332448572,non-blonde_male,0.1171876565474402,19962,12.8,135.1,0.8665322580645162,0.7944444444444444,0.9153271219412308,0.9244857332448572,
EVA02-L-14,merged2b_s4b_b131k,EVA02-L-14_merged2b_s4b_b131k,EVA,,,14.0,224,Merged-2b,False,,427.8,0.9109808636409178,0.9109808636409178,0.7222222222222222,blonde_male,0.9443928334439284,non-blonde_male,0.1887586414186955,19962,13.7,77.8,0.9181451612903224,0.7222222222222222,0.8868639295587182,0.9443928334439284,
RN101,openai,RN101_openai,ResNet,101.0,x1,,224,OpenAI-400m,False,512.0,119.7,0.9108806732792304,0.910930768460074,0.6388888888888888,blonde_male,0.93271400132714,non-blonde_male,0.2719917843903416,19962,1.4,33.0,0.7983870967741935,0.6388888888888888,0.9277157776185112,0.93271400132714,
ViT-B-32,metaclip_400m,ViT-B-32_metaclip_400m,CLIP,,,32.0,224,MetaCLIP-400m,False,512.0,151.3,0.910680292555856,0.910680292555856,0.7111111111111111,blonde_male,0.9397478433974784,non-blonde_male,0.199569181444745,19962,8.6,29.4,0.8887096774193548,0.7111111111111111,0.8975120303061329,0.9397478433974784,B
RN50x4-quickgelu,openai,RN50x4-quickgelu_openai,ResNet,50.0,x4,,288,OpenAI-400m,True,640.0,178.3,0.9106301973750124,0.9106301973750124,0.6333333333333333,blonde_male,0.9407187468004504,non-blonde_female,0.2772968640416792,19962,19.1,50.5,0.7899193548387097,0.6333333333333333,0.9407187468004504,0.9179827471798274,
ViT-B-16,commonpool_l_image_s1b_b8k,ViT-B-16_commonpool_l_image_s1b_b8k,CLIP,,,16.0,224,CommonPool-1b,False,512.0,149.6,0.9105300070133252,0.9105300070133252,0.45,blonde_male,0.9599203715992036,non-blonde_male,0.4605300070133253,19962,8.4,34.3,0.6983870967741935,0.45,0.9347803829220844,0.9599203715992036,B
MobileCLIP-S2,datacompdr,MobileCLIP-S2_datacompdr,MobileCLIP,,,14.0,256,DataComp-1b,False,,99.2,0.91017934074742,0.91017934074742,0.8444444444444444,blonde_male,0.9178867615439746,non-blonde_female,0.0657348963029756,19962,6.3,41.7,0.8709677419354839,0.8444444444444444,0.9178867615439746,0.914664897146649,
xlm-roberta-large-ViT-H-14,frozen_laion5b_s13b_b90k,xlm-roberta-large-ViT-H-14_frozen_laion5b_s13b_b90k,XLM-RoBERTa-CLIP,,,14.0,224,LAION-5b,False,1024.0,1193.0,0.9099789600240455,0.9099789600240455,0.8055555555555556,blonde_male,0.9296615792966156,non-blonde_male,0.10442340446849,19962,92.5,99.2,0.904032258064516,0.8055555555555556,0.8982287293949012,0.9296615792966156,H
ViTamin-L2-256,datacomp1b,ViTamin-L2-256_datacomp1b,ViTamin,,,14.0,256,DataComp-1b,False,,687.7,0.9099789600240455,0.9099789600240455,0.7944444444444444,blonde_male,0.9223623092236232,non-blonde_male,0.1155345155796012,19962,12.4,80.4,0.8830645161290323,0.7944444444444444,0.9093887580628648,0.9223623092236232,
MobileCLIP-B,datacompdr,MobileCLIP-B_datacompdr,MobileCLIP,,,14.0,224,DataComp-1b,False,,149.8,0.909928864843202,0.909928864843202,0.8722222222222222,blonde_male,0.9190444591904446,non-blonde_male,0.0377066426209798,19962,9.3,29.1,0.8959677419354839,0.8722222222222222,0.90713627521245,0.9190444591904446,
nllb-clip-large,v1,nllb-clip-large_v1,NNLB-CLIP,,,14.0,224,LAION-2b,False,1024.0,1399.2,0.9096282937581404,0.9096282937581404,0.2166666666666666,blonde_male,0.9917717319177172,non-blonde_male,0.6929616270914738,19962,77.3,99.5,0.7391129032258065,0.2166666666666666,0.9023241527592916,0.9917717319177172,
ViTamin-L2-384,datacomp1b,ViTamin-L2-384_datacomp1b,ViTamin,,,14.0,384,DataComp-1b,False,,688.0,0.9095281033964532,0.9095281033964532,0.7888888888888889,blonde_male,0.9199344732261696,non-blonde_female,0.1206392145075644,19962,12.8,175.9,0.8467741935483871,0.7888888888888889,0.9199344732261696,0.9195753151957532,
ViTamin-S-LTT,datacomp1b,ViTamin-S-LTT_datacomp1b,ViTamin,,,14.0,224,DataComp-1b,False,,145.8,0.9093778178539224,0.9093778178539224,0.8333333333333334,blonde_male,0.9125414731254148,non-blonde_male,0.0760444845205891,19962,2.8,32.5,0.9076612903225808,0.8333333333333334,0.9087744445582062,0.9125414731254148,
ViT-B-16,datacomp_l_s1b_b8k,ViT-B-16_datacomp_l_s1b_b8k,CLIP,,,16.0,224,DataComp-1b,False,512.0,149.6,0.9092776274922352,0.9092776274922352,0.6444444444444445,blonde_male,0.9518248175182482,non-blonde_male,0.2648331830477908,19962,8.6,34.1,0.6786290322580645,0.6444444444444445,0.9398996621275724,0.9518248175182482,B
roberta-ViT-B-32,laion2b_s12b_b32k,roberta-ViT-B-32_laion2b_s12b_b32k,RoBERTa-CLIP,,,32.0,224,LAION-2b,False,512.0,212.7,0.9092275323113916,0.9092275323113916,0.7777777777777778,blonde_male,0.9325812873258128,non-blonde_male,0.1314497545336138,19962,11.7,28.9,0.908467741935484,0.7777777777777778,0.8938261492781816,0.9325812873258128,B
ViTamin-B,datacomp1b,ViTamin-B_datacomp1b,ViTamin,,,14.0,224,DataComp-1b,False,,151.0,0.90892696122633,0.9089770564071736,0.7,blonde_male,0.9381552753815527,non-blonde_male,0.20892696122633,19962,3.4,42.5,0.8657258064516129,0.7,0.901300296918194,0.9381552753815527,
PE-Core-T-16-384,meta,PE-Core-T-16-384_meta,PE,,,16.0,384,MetaCLIP-5.4b,False,,69.5,0.908676485322112,0.9087265805029556,0.7,blonde_male,0.9491705374917052,non-blonde_male,0.208676485322112,19962,6.0,44.7,0.9318548387096774,0.7,0.8754991297225351,0.9491705374917052,
ViT-B-32-SigLIP2-256,webli,ViT-B-32-SigLIP2-256_webli,SigLIP2,,,32.0,256,WebLI-10b,False,,376.9,0.9082757238753632,0.9082757238753632,0.8666666666666667,blonde_male,0.9310483870967742,blonde_female,0.0416090572086964,19962,22.9,31.3,0.9310483870967742,0.8666666666666667,0.8938261492781816,0.9205043132050432,B
ViT-SO400M-14-SigLIP,webli,ViT-SO400M-14-SigLIP_webli,SigLIP,,,14.0,224,WebLI-10b,False,,877.4,0.908175533513676,0.908175533513676,0.8611111111111112,blonde_male,0.9198407431984076,non-blonde_male,0.0470644224025648,19962,40.7,67.1,0.9173387096774194,0.8611111111111112,0.8977168014743524,0.9198407431984076,
ViTamin-L2,datacomp1b,ViTamin-L2_datacomp1b,ViTamin,,,14.0,224,DataComp-1b,False,,687.6,0.9075242961627092,0.9075242961627092,0.8055555555555556,blonde_male,0.9163901791639018,non-blonde_male,0.1019687406071535,19962,12.3,65.8,0.8778225806451613,0.8055555555555556,0.910105457151633,0.9163901791639018,
ViT-L-14,laion400m_e31,ViT-L-14_laion400m_e31,CLIP,,,14.0,224,LAION-400m,False,768.0,427.6,0.9072237250776476,0.9072237250776476,0.7222222222222222,blonde_male,0.9335102853351028,non-blonde_male,0.1850015028554252,19962,20.0,62.4,0.922983870967742,0.7222222222222222,0.8863520016381693,0.9335102853351028,L
RN50x64,openai,RN50x64_openai,ResNet,50.0,x64,,448,OpenAI-400m,False,1024.0,623.3,0.9069732491734296,0.9069732491734296,0.7555555555555555,blonde_male,0.9174518911745188,non-blonde_male,0.1514176936178739,19962,5.3,204.5,0.8758064516129033,0.7555555555555555,0.9095935292310844,0.9174518911745188,
ViT-B-16,commonpool_l_laion_s1b_b8k,ViT-B-16_commonpool_l_laion_s1b_b8k,CLIP,,,16.0,224,CommonPool-1b,False,512.0,149.6,0.9068730588117424,0.9068730588117424,0.5666666666666667,blonde_male,0.9600530856005308,non-blonde_male,0.3402063921450756,19962,8.6,34.2,0.8955645161290322,0.5666666666666667,0.8749872018019863,0.9600530856005308,B
ViT-B-16-quickgelu,metaclip_400m,ViT-B-16-quickgelu_metaclip_400m,CLIP,,,16.0,224,MetaCLIP-400m,True,512.0,149.6,0.9068229636308988,0.9068229636308988,0.7611111111111111,blonde_male,0.925016589250166,non-blonde_male,0.1457118525197877,19962,8.6,35.6,0.8943548387096775,0.7611111111111111,0.8986382717313403,0.925016589250166,B
